,Country,Number of cases,Deaths,Continent
0,United States,82192880,1014114,North America
1,India,43039023,521767,Asia
2,Brazil,30210853,661710,South America
3,France,27310055,143777,Europe
4,Germany,23116402,132906,Europe
5,United Kingdom,21715116,171045,Europe
6,Russia,18030579,372512,Europe
7,South Korea,15979061,20352,Asia
8,Italy,15467395,161187,Europe
9,Turkey,14978031,98493,Asia
10,Spain,11662214,103266,Europe
11,Vietnam,10297587,42878,Asia
12,Argentina,9057923,128285,South America
13,Netherlands,8006753,22138,Europe
14,Iran,7199861,140711,Asia
15,Japan (+Diamond Princess),7181446,28838,Asia
16,Colombia,6088912,139734,South America
17,Indonesia,6036909,155746,Asia
18,Poland,5981486,115736,Europe
19,Mexico,5724611,323848,North America
20,Australia,5260331,6693,Australia/Oceania
21,Ukraine,4988890,108194,Europe
22,Malaysia,4352611,35363,Asia
23,Israel,4016919,10601,Asia
24,Austria,4016540,16324,Europe
25,Thailand,3973003,26513,Asia
26,Belgium,3943831,31079,Europe
27,Czech Republic (Czechia),3872522,39933,Europe
28,South Africa,3735578,100132,Africa
29,Portugal,3709026,21970,Europe
30,Philippines,3682083,59891,Asia
31,Canada,3604570,38165,North America
32,Peru,3553210,212547,South America
33,Switzerland,3551790,13767,Europe
34,Chile,3518800,57098,South America
35,Greece,3206948,28344,Europe
36,Denmark,2943116,5945,Europe
37,Romania,2877544,65285,Europe
38,Sweden,2491980,18472,Europe
39,Iraq,2322551,25188,Asia
40,Serbia,1992677,15906,Europe
41,Bangladesh,1952162,29124,Asia
42,Hungary,1876946,45838,Europe
43,Slovakia,1757117,19643,Europe
44,Jordan,1694216,14048,Asia
45,Georgia,1652235,16781,Asia
46,Pakistan,1526952,30362,Asia
47,Ireland,1496910,6919,Europe
48,Norway,1418431,2783,Europe
49,Kazakhstan,1305343,13660,Asia
50,Hong Kong,1194295,8948,Asia
51,Morocco,1164189,16061,Africa
52,Singapore,1148656,1309,Asia
53,Bulgaria,1147812,36756,Europe
54,Croatia,1110989,15707,Europe
55,Cuba,1098114,8519,North America
56,Lebanon,1095099,10353,Asia
57,Lithuania,1045085,8988,Europe
58,Tunisia,1038668,28509,Africa
59,Slovenia,992497,6541,Europe
60,Nepal,978631,11951,Asia
61,Belarus,971649,6885,Europe
62,Finland,920692,3334,Europe
63,Bolivia,903677,21901,South America
64,Uruguay,894984,7188,South America
65,United Arab Emirates,894523,2302,Asia
66,Ecuador,865585,35513,South America
67,Costa Rica,844892,8357,North America
68,Guatemala,837087,17411,North America
69,Latvia,811056,5695,Europe
70,New Zealand,805240,514,Australia/Oceania
71,Azerbaijan,792305,9704,Asia
72,Panama,767835,8178,North America
73,Saudi Arabia,752188,9062,Asia
74,Sri Lanka,662748,16494,Asia
75,Paraguay,648446,18734,South America
76,Kuwait,630641,2555,Asia
77,Myanmar,612460,19434,Asia
78,State of Palestine,581678,5352,Asia
79,Dominican Republic,578626,4375,North America
80,Estonia,565839,2501,Europe
81,Bahrain,561525,1473,Asia
82,Venezuela,521714,5698,South America
83,Moldova,515804,11474,Europe
84,Egypt,511977,24522,Africa
85,Libya,501834,6429,Africa
86,Ethiopia,470151,7509,Africa
87,Mongolia,469266,2177,Asia
88,Cyprus,462945,989,Asia
89,Armenia,422711,8621,Asia
90,Honduras,421268,10888,North America
91,Oman,388763,4257,Asia
92,Bosnia and Herzegovina,376339,15744,Europe
93,Qatar,363139,677,Asia
94,Réunion,360445,731,Africa
95,Kenya,323588,5649,Africa
96,Zambia,318113,3969,Africa
97,North Macedonia,308152,9256,Europe
98,Botswana,305859,2688,Africa
99,Albania,274320,3494,Europe
100,Algeria,265731,6874,Africa
101,Nigeria,255633,3142,Africa
102,Zimbabwe,247160,5460,Africa
103,Uzbekistan,238176,1637,Asia
104,Montenegro,233908,2708,Europe
105,Luxembourg,227528,1052,Europe
106,Mozambique,225304,2200,Africa
107,Kyrgyzstan,200973,2991,Asia
108,Laos,198318,707,Asia
109,Iceland,183974,110,Europe
110,Maldives,178313,298,Asia
111,Afghanistan,178295,7676,Asia
112,China,171382,4638,Asia
113,Uganda,164024,3596,Africa
114,El Salvador,162089,4124,North America
115,Ghana,161086,1445,Africa
116,Namibia,157896,4021,Africa
117,Martinique,147519,918,North America
118,Trinidad and Tobago,141155,3792,North America
119,Guadeloupe,140130,854,North America
120,Brunei ,139278,216,Asia
121,Cambodia,136013,3055,Asia
122,Rwanda,129755,1458,Africa
123,Jamaica,129108,2919,North America
124,Cameroon,119780,1927,Africa
125,Angola,99194,1900,Africa
126,Malta,87441,669,Europe
127,DR Congo,86748,1337,Africa
128,Senegal,85954,1965,Africa
129,Malawi,85713,2628,Africa
130,Côte d'Ivoire,81838,797,Africa
131,French Guiana,79529,394,South America
132,Suriname,79276,1325,South America
133,French Polynesia,72596,648,Australia/Oceania
134,Channel Islands,72213,164,Europe
135,Eswatini,70048,1395,Africa
136,Fiji,64502,862,Australia/Oceania
137,Madagascar,64089,1390,Africa
138,Guyana,63349,1227,South America
139,Barbados,62968,379,North America
140,Sudan,62057,4929,Africa
141,New Caledonia,60385,312,Australia/Oceania
142,Mauritania,58680,982,Africa
143,Belize,57331,672,North America
144,Cabo Verde,55978,401,Africa
145,Syria,55756,3148,Asia
146,Gabon,47588,303,Africa
147,Bhutan,47187,14,Asia
148,Papua New Guinea,43615,649,Australia/Oceania
149,Curaçao,41153,270,North America
150,Seychelles,40866,164,Africa
151,Andorra,40709,153,Europe
152,Burundi,38698,38,Africa
153,Mauritius,37210,985,Africa
154,Mayotte,36958,187,Africa
155,Togo,36957,272,Africa
156,Guinea,36459,440,Africa
157,Faeroe Islands,34658,28,Europe
158,Aruba,34189,212,North America
159,Tanzania,33851,803,Africa
160,Bahamas,33368,789,North America
161,Lesotho,32910,697,Africa
162,Mali,30602,729,Africa
163,Haiti,30586,835,North America
164,Taiwan,30574,854,Asia
165,Isle of Man,28416,87,Europe
166,Benin,26952,163,Africa
167,Somalia,26471,1350,Africa
168,Congo,24079,385,Africa
169,Saint Lucia,23045,365,North America
170,Timor-Leste,22848,130,Asia
171,Cayman Islands,21121,25,North America
172,Burkina Faso,20853,382,Africa
173,Nicaragua,18491,225,North America
174,Tajikistan,17388,124,Asia
175,South Sudan,17362,138,Africa
176,Gibraltar,17236,101,Europe
177,Liechtenstein,16865,84,Europe
178,Equatorial Guinea,15906,183,Africa
179,San Marino,15683,114,Europe
180,Djibouti,15598,189,Africa
181,Central African Republic,14649,113,Africa
182,Grenada,14092,219,North America
183,Bermuda,12711,129,North America
184,Solomon Islands,12285,139,Australia/Oceania
185,Gambia,11990,365,Africa
186,Dominica,11986,63,North America
187,Greenland,11971,21,North America
188,Yemen,11815,2147,Asia
189,Monaco,11299,54,Europe
190,Saint Martin,10176,63,North America
191,Sint Maarten,9909,86,North America
192,Eritrea,9733,103,Africa
193,Caribbean Netherlands,9346,34,North America
194,Niger,8846,308,Africa
195,Tonga,8761,11,Australia/Oceania
196,Guinea-Bissau,8175,170,Africa
197,Comoros,8100,160,Africa
198,Sierra Leone,7677,125,Africa
199,Antigua and Barbuda,7523,135,North America
200,Liberia,7402,294,Africa
201,Chad,7378,192,Africa
202,St. Vincent & Grenadines,6748,106,North America
203,British Virgin Islands,6162,62,North America
204,Sao Tome & Principe,5948,73,Africa
205,Turks and Caicos,5936,36,North America
206,Saint Kitts & Nevis,5554,43,North America
207,Vanuatu,5536,6,Australia/Oceania
208,Saint Barthelemy,4313,6,North America
209,Palau,4122,6,Australia/Oceania
210,Samoa,4092,9,Australia/Oceania
211,Cook Islands,3688,0,Australia/Oceania
212,Kiribati,3069,13,Australia/Oceania
213,Anguilla,2731,9,North America
214,Saint Pierre & Miquelon,2537,1,North America
215,Wallis & Futuna,454,7,Australia/Oceania
216,Montserrat,176,2,North America
217,Falkland Islands,128,0,South America
218,Macao,82,0,Asia
219,Holy See,29,0,Europe
220,Western Sahara,10,1,Africa
221,MS Zaandam,9,2,
222,Marshall Islands,7,0,Australia/Oceania
223,Niue,7,0,Australia/Oceania
224,Nauru,3,0,Australia/Oceania
225,Saint Helena,2,0,Africa
226,Micronesia,1,0,Australia/Oceania
